date,chacay_pm10_max
2023-04-12 00:00:00,45.657931035574414
2023-04-12 01:00:00,43.871626036544164
2023-04-12 02:00:00,51.59748535394957
2023-04-12 03:00:00,60.42619653376047
2023-04-12 04:00:00,24.286078698801234
2023-04-12 05:00:00,25.02463938072471
2023-04-12 06:00:00,31.222734870157673
2023-04-12 07:00:00,59.510206212919
2023-04-12 08:00:00,35.52098795686723
2023-04-12 09:00:00,31.898010750829123
2023-04-12 10:00:00,19.42341052898534
2023-04-12 11:00:00,12.948940352656896
2023-04-12 12:00:00,52.46393701990985
2023-04-12 13:00:00,52.46393701990985
2023-04-12 14:00:00,44.392562093769875
2023-04-12 15:00:00,24.21412477841993
2023-04-12 16:00:00,36.321187167629894
2023-04-12 17:00:00,56.49962448297985
2023-04-12 18:00:00,10.36548065506047
2023-04-12 19:00:00,14.938033362793382
2023-04-12 20:00:00,26.678221064959146
2023-04-12 21:00:00,60.202640485685116
2023-04-12 22:00:00,18.475733958948936
2023-04-12 23:00:00,10.397347985175056
2023-04-13 00:00:00,45.26711380011717
2023-04-13 01:00:00,43.496098998552526
2023-04-13 02:00:00,51.15582743986529
2023-04-13 03:00:00,59.90896768560877
2023-04-13 04:00:00,24.078197659913002
2023-04-13 05:00:00,24.810436499445025
2023-04-13 06:00:00,30.037356686339756
2023-04-13 07:00:00,57.25088778829493
2023-04-13 08:00:00,34.17242562346403
2023-04-13 09:00:00,30.686995565629516
2023-04-13 10:00:00,18.68599635972227
2023-04-13 11:00:00,12.457330906481515
2023-04-13 12:00:00,48.15568166749726
2023-04-13 13:00:00,48.15568166749726
2023-04-13 14:00:00,40.747115257113066
2023-04-13 15:00:00,22.225699231152582
2023-04-13 16:00:00,33.33854884672887
2023-04-13 17:00:00,51.85996487268937
2023-04-13 18:00:00,10.015502173583794
2023-04-13 19:00:00,14.433667920752253
2023-04-13 20:00:00,25.777461745876803
2023-04-13 21:00:00,58.16996786786685
2023-04-13 22:00:00,17.85192214256556
2023-04-13 23:00:00,10.046293540106014
2023-04-14 00:00:00,43.93135337314452
2023-04-14 01:00:00,42.2125983975091
2023-04-14 02:00:00,49.646300452902025
2023-04-14 03:00:00,58.14114947195864
2023-04-14 04:00:00,23.367688398621105
2023-04-14 05:00:00,24.078320036305488
2023-04-14 06:00:00,28.65441013836226
2023-04-14 07:00:00,54.615006127260614
2023-04-14 08:00:00,32.59909683340177
2023-04-14 09:00:00,29.274139067354884
2023-04-14 10:00:00,17.82567651097372
2023-04-14 11:00:00,11.88378434064915
2023-04-14 12:00:00,50.76846022200334
2023-04-14 13:00:00,50.76846022200334
2023-04-14 14:00:00,42.957927880156674
2023-04-14 15:00:00,23.431597025540004
2023-04-14 16:00:00,35.14739553831001
2023-04-14 17:00:00,54.67372639292669
2023-04-14 18:00:00,9.878492723752627
2023-04-14 19:00:00,14.236219119224968
2023-04-14 20:00:00,25.424832812186224
2023-04-14 21:00:00,57.37421792381574
2023-04-14 22:00:00,17.60771251744733
2023-04-14 23:00:00,9.908862872435378
2023-04-15 00:00:00,42.43420417360445
2023-04-15 01:00:00,40.774023142052236
2023-04-15 02:00:00,47.95438993168815
2023-04-15 03:00:00,56.159740553072616
2023-04-15 04:00:00,22.571334239350342
2023-04-15 05:00:00,23.25774805750865
2023-04-15 06:00:00,29.547171829738122
2023-04-15 07:00:00,56.31660057674465
2023-04-15 08:00:00,33.61475985650306
2023-04-15 09:00:00,30.186209138982527
2023-04-15 10:00:00,18.38105632982228
2023-04-15 11:00:00,12.254037553214856
2023-04-15 12:00:00,50.655006125979575
2023-04-15 13:00:00,50.655006125979575
2023-04-15 14:00:00,42.86192826044425
2023-04-15 15:00:00,23.379233596605957
2023-04-15 16:00:00,35.068850394908935
2023-04-15 17:00:00,54.551545058747244
2023-04-15 18:00:00,9.93413436360937
2023-04-15 19:00:00,14.316406107190142
2023-04-15 20:00:00,25.568040832915134
2023-04-15 21:00:00,57.69738418612448
2023-04-15 22:00:00,17.706889793373357
2023-04-15 23:00:00,9.964675575319918
2023-04-16 00:00:00,57.6133599608064
