Datetime,"Material particulado respirable","Material particulado respirable grueso"
"2023-07-07 03:00",159.4,254.6
"2023-07-07 03:05",164.2,272.8
"2023-07-07 03:10",184.2,322.6
"2023-07-07 03:15",123.8,228.2
"2023-07-07 03:20",152.8,263.2
"2023-07-07 03:25",255.8,432.4
"2023-07-07 03:30",287.4,531.2
"2023-07-07 03:35",252.2,448.8
"2023-07-07 03:40",197.8,342.6
"2023-07-07 03:45",148.8,234.8
"2023-07-07 03:50",266,456
"2023-07-07 03:55",410.2,705.6
"2023-07-07 04:00",295.2,522
"2023-07-07 04:05",628,1069.2
"2023-07-07 04:10",314,575.4
"2023-07-07 04:15",178,324.8
"2023-07-07 04:20",175.6,310.4
"2023-07-07 04:25",159.8,258.8
"2023-07-07 04:30",155.4,281
"2023-07-07 04:35",172,300.2
"2023-07-07 04:40",166.8,303.8
"2023-07-07 04:45",116.2,195
"2023-07-07 04:50",129,220.8
"2023-07-07 04:55",76.8,137
"2023-07-07 05:00",81.8,134.6
"2023-07-07 05:05",188,366.8
"2023-07-07 05:10",97.6,161.6
"2023-07-07 05:15",109.2,174
"2023-07-07 05:20",79.6,129.6
"2023-07-07 05:25",27,35.2
"2023-07-07 05:30",39.4,74.8
"2023-07-07 05:35",121.2,217
"2023-07-07 05:40",55.6,107.2
"2023-07-07 05:45",56,89.8
"2023-07-07 05:50",49.4,71.4
"2023-07-07 05:55",32.2,51.6
"2023-07-07 06:00",69.2,120.6
"2023-07-07 06:05",92.2,173
"2023-07-07 06:10",108,209
"2023-07-07 06:15",135.2,274.2
"2023-07-07 06:20",134.6,252
"2023-07-07 06:25",172.2,321.8
"2023-07-07 06:30",200.4,355.8
"2023-07-07 06:35",66,126.6
"2023-07-07 06:40",70.4,126.4
"2023-07-07 06:45",163.4,294.2
"2023-07-07 06:50",136,317.8
"2023-07-07 06:55",130,297.2
"2023-07-07 07:00",102.2,205.4
"2023-07-07 07:05",115.6,204.4
"2023-07-07 07:10",125.2,233.4
"2023-07-07 07:15",91.4,165.8
"2023-07-07 07:20",46.6,79.2
"2023-07-07 07:25",106,212.8
"2023-07-07 07:30",80.6,179.8
"2023-07-07 07:35",73,168.6
"2023-07-07 07:40",65.8,139
"2023-07-07 07:45",40.4,73.6
"2023-07-07 07:50",31.4,52.4
"2023-07-07 07:55",28.2,42.6
"2023-07-07 08:00",135.2,212.2
"2023-07-07 08:05",119.8,203.6
"2023-07-07 08:10",82.8,130
"2023-07-07 08:15",32,40.2
"2023-07-07 08:20",61.8,98.6
"2023-07-07 08:25",121.2,213.2
"2023-07-07 08:30",197.4,330.8
"2023-07-07 08:35",136,209.2
"2023-07-07 08:40",79.6,136.8
"2023-07-07 08:45",117.6,202.4
"2023-07-07 08:50",103.6,166.8
"2023-07-07 08:55",131.8,233.8
"2023-07-07 09:00",76.6,124.2
"2023-07-07 09:05",75.2,140.6
"2023-07-07 09:10",74.4,93
"2023-07-07 09:15",174.6,339.2
"2023-07-07 09:20",135,246.2
"2023-07-07 09:25",551.2,932.2
"2023-07-07 09:30",291,501.2
"2023-07-07 09:35",399,699.4
"2023-07-07 09:40",227.4,437.4
"2023-07-07 09:45",45.4,80.6
"2023-07-07 09:50",78.8,121
"2023-07-07 09:55",198.4,322.2
"2023-07-07 10:00",87,178.4
"2023-07-07 10:05",132.2,254.2
"2023-07-07 10:10",81.6,158.2
"2023-07-07 10:15",101,219.4
"2023-07-07 10:20",103.2,224.6
"2023-07-07 10:25",100.8,169.4
"2023-07-07 10:30",197,498.2
"2023-07-07 10:35",97.4,220.6
"2023-07-07 10:40",143.4,287.4
"2023-07-07 10:45",144.8,291
"2023-07-07 10:50",210.4,474.2
"2023-07-07 10:55",373,801.8
"2023-07-07 11:00",240.2,532.6
"2023-07-07 11:05",234.4,540
"2023-07-07 11:10",145.4,295
"2023-07-07 11:15",122.6,307
"2023-07-07 11:20",178.6,424.4
"2023-07-07 11:25",90.6,171.6
"2023-07-07 11:30",138.2,303.6
"2023-07-07 11:35",171.4,347.6
"2023-07-07 11:40",137.8,231.2
"2023-07-07 11:45",124.4,201
"2023-07-07 11:50",141.4,263
"2023-07-07 11:55",110.2,198.4
"2023-07-07 12:00",99,150.2
"2023-07-07 12:05",107,143.6
"2023-07-07 12:10",140.6,278.2
"2023-07-07 12:15",79.6,149.2
"2023-07-07 12:20",189.4,369.8
"2023-07-07 12:25",103.4,173.8
"2023-07-07 12:30",83.6,161.2
"2023-07-07 12:35",97.6,162.4
"2023-07-07 12:40",98.2,180.6
"2023-07-07 12:45",93,173.4
"2023-07-07 12:50",156.4,252
"2023-07-07 12:55",123.4,194.4
"2023-07-07 13:00",278.2,578.8
"2023-07-07 13:05",136.4,314.6
"2023-07-07 13:10",88,151.8
"2023-07-07 13:15",109,204
"2023-07-07 13:20",204.8,293.8
"2023-07-07 13:25",113.6,176.6
"2023-07-07 13:30",108.8,191.6
"2023-07-07 13:35",167.6,288.6
"2023-07-07 13:40",163.8,281.4
"2023-07-07 13:45",124,246
"2023-07-07 13:50",126.8,165.8
"2023-07-07 13:55",104,162.8
"2023-07-07 14:00",153.2,159.6
"2023-07-07 14:05",118.6,169.6
"2023-07-07 14:10",140.8,216
"2023-07-07 14:15",108.8,186.2
"2023-07-07 14:20",101.2,181.6
"2023-07-07 14:25",121.4,162.8
"2023-07-07 14:30",110.8,162.2
"2023-07-07 14:35",93.4,184.4
"2023-07-07 14:40",91.6,162
"2023-07-07 14:45",105.8,156.6
"2023-07-07 14:50",132.6,206.6
"2023-07-07 14:55",132.8,192
"2023-07-07 15:00",152.4,212.4
"2023-07-07 15:05",109,192.2
"2023-07-07 15:10",97,170
"2023-07-07 15:15",143.2,236
"2023-07-07 15:20",99.2,175.8
"2023-07-07 15:25",84.6,138.8
"2023-07-07 15:30",126.8,172.8
"2023-07-07 15:35",93.4,152
"2023-07-07 15:40",105.8,162.4
"2023-07-07 15:45",87,122.2
"2023-07-07 15:50",88.2,118.8
"2023-07-07 15:55",80.4,127
"2023-07-07 16:00",69,104.8
